database,name,Agency ID,Resource ID,Latest Version,Unique ID
ESTAT:STS_COPR_M,Production in construction - monthly data,ESTAT,STS_COPR_M,1.0,ESTAT:STS_COPR_M(1.0)
IMF.RES.GEE:GEE_LIVE,Global Economic Environment (GEE) Live,IMF.RES.GEE,GEE_LIVE,1.0.0,IMF.RES.GEE:GEE_LIVE(1.0.0)
IMF.CSF:CF_M,"Consensus Forecasts (CF), Monthly",IMF.CSF,CF_M,16.0.0,IMF.CSF:CF_M(16.0.0)
IMF.STA:EER_WEIGHTS,"Effective Exchange Rate (EER), Weights",IMF.STA,EER_WEIGHTS,2.0.1,IMF.STA:EER_WEIGHTS(2.0.1)
ESTAT:ERT_BIL_EUR_Q,Euro/ECU exchange rates - quarterly data,ESTAT,ERT_BIL_EUR_Q,1.0,ESTAT:ERT_BIL_EUR_Q(1.0)
IMF.STA:MFS_IR,"Monetary and Financial Statistics (MFS), Interest Rate",IMF.STA,MFS_IR,8.0.1,IMF.STA:MFS_IR(8.0.1)
IMF.RES.GAS:GAS_LIVE,Global Assumptions (GAS) Live,IMF.RES.GAS,GAS_LIVE,3.0.0,IMF.RES.GAS:GAS_LIVE(3.0.0)
IMF.STA:IIP,International Investment Position (IIP),IMF.STA,IIP,13.0.0,IMF.STA:IIP(13.0.0)
IMF.FAD:PSBS,Public Sector Balance Sheet (PSBS),IMF.FAD,PSBS,2.0.0,IMF.FAD:PSBS(2.0.0)
IMF.STA:GFS_SOO,GFS Statement of Operations,IMF.STA,GFS_SOO,12.0.0,IMF.STA:GFS_SOO(12.0.0)
IMF.STA:TEG,Trade in Low Carbon Technology Goods (TEG),IMF.STA,TEG,3.0.2,IMF.STA:TEG(3.0.2)
IMF.MCM:FDI,Financial Development Index (FDI),IMF.MCM,FDI,1.0.0,IMF.MCM:FDI(1.0.0)
IMF.STA:FSI_COUNTRY_METADATA_TABLE_2,"Financial Soundness Indicators (FSI), Country Metadata Table 2",IMF.STA,FSI_COUNTRY_METADATA_TABLE_2,3.0.0,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(3.0.0)
ESTAT:TOUR_OCC_NIM,Nights spent at tourist accommodation establishments - monthly data,ESTAT,TOUR_OCC_NIM,1.0,ESTAT:TOUR_OCC_NIM(1.0)
IMF.STA:MFS_MA,"Monetary and Financial Statistics (MFS), Monetary Aggregates",IMF.STA,MFS_MA,10.0.1,IMF.STA:MFS_MA(10.0.1)
IMF.STA:MFS_OFC,"Monetary and Financial Statistics (MFS), Other Financial Corporations",IMF.STA,MFS_OFC,7.0.0,IMF.STA:MFS_OFC(7.0.0)
IMF.STA:IIPCC,Currency Composition of the International Investment Position (IIPCC),IMF.STA,IIPCC,13.0.0,IMF.STA:IIPCC(13.0.0)
