database,name,Agency ID,Resource ID,Latest Version,Unique ID
IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3B_VINTAGE,GEE Live 2020 April GAS3b,IMF.RES.GEE,GEE_LIVE_2020_APR_GAS3B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_APR_GAS3B_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2013_APR_FINAL_VINTAGE,GAS Live 2013 April Final,IMF.RES.GAS,GAS_LIVE_2013_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_APR_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2020_APR_GAS2B_VINTAGE,GEE Live 2020 April GAS2b,IMF.RES.GEE,GEE_LIVE_2020_APR_GAS2B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2020_APR_GAS2B_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2010_OCT_FINAL_VINTAGE,GAS Live 2010 October Final,IMF.RES.GAS,GAS_LIVE_2010_OCT_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2010_OCT_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2022_JUL_GAS1B_VINTAGE,GEE Live 2022 July GAS1b,IMF.RES.GEE,GEE_LIVE_2022_JUL_GAS1B_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_JUL_GAS1B_VINTAGE(1.0.0)
IMF.STA:PPI_2026_APR_VINTAGE,Producer Price Index (PPI) 2026 April,IMF.STA,PPI_2026_APR_VINTAGE,1.0.0,IMF.STA:PPI_2026_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2026_APR_GAS2_VINTAGE,GAS Live 2026 April GAS2,IMF.RES.GAS,GAS_LIVE_2026_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2026_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2018_OCT_GAS3_VINTAGE,GEE Live 2018 October GAS3,IMF.RES.GEE,GEE_LIVE_2018_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2018_OCT_GAS3_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2010_JUN_GAS1_VINTAGE,GAS Live 2010 June GAS1,IMF.RES.GAS,GAS_LIVE_2010_JUN_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2010_JUN_GAS1_VINTAGE(1.0.0)
IMF.STA:PPI_2026_FEB_VINTAGE,Producer Price Index (PPI) 2026 February,IMF.STA,PPI_2026_FEB_VINTAGE,1.0.0,IMF.STA:PPI_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2016_APR_GAS2_VINTAGE,GAS Live 2016 April GAS2,IMF.RES.GAS,GAS_LIVE_2016_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2016_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2013_JUL_GAS1_VINTAGE,GAS Live 2013 July GAS1,IMF.RES.GAS,GAS_LIVE_2013_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2013_JUL_GAS1_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2022_JUL_GAS1_VINTAGE,GEE Live 2022 July GAS1,IMF.RES.GEE,GEE_LIVE_2022_JUL_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2022_JUL_GAS1_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS3_VINTAGE,GAS Live 2019 October GAS3,IMF.RES.GAS,GAS_LIVE_2019_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2019_OCT_GAS3_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_2020_JAN_ICP2017PPP_VINTAGE,WEO Live 2020 January (ICP2017PPP Weights),IMF.RES.WEO,WEO_LIVE_2020_JAN_ICP2017PPP_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_2020_JAN_ICP2017PPP_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2020_OCT_GAS3_VINTAGE,GAS Live 2020 October GAS3,IMF.RES.GAS,GAS_LIVE_2020_OCT_GAS3_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2020_OCT_GAS3_VINTAGE(1.0.0)
IMF.STA:MFS_OFC_2026_APR_VINTAGE,"Monetary and Financial Statistics (MFS), Other Financial Corporations 2026 April",IMF.STA,MFS_OFC_2026_APR_VINTAGE,1.0.0,IMF.STA:MFS_OFC_2026_APR_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2012_OCT_GAS2_VINTAGE,GAS Live 2012 October GAS2,IMF.RES.GAS,GAS_LIVE_2012_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_OCT_GAS2_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2014_APR_FINAL_VINTAGE,GAS Live 2014 April Final,IMF.RES.GAS,GAS_LIVE_2014_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2014_APR_FINAL_VINTAGE(1.0.0)
IMF.STA:CPI_WCA_2026_JAN_VINTAGE,"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA) 2026 January",IMF.STA,CPI_WCA_2026_JAN_VINTAGE,1.0.0,IMF.STA:CPI_WCA_2026_JAN_VINTAGE(1.0.0)
IMF.STA:LS_2026_APR_VINTAGE,Labor Statistics (LS) 2026 April,IMF.STA,LS_2026_APR_VINTAGE,1.0.0,IMF.STA:LS_2026_APR_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1996_MAY_VINTAGE,WEO Live 1996 May,IMF.RES.WEO,WEO_LIVE_1996_MAY_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1996_MAY_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2012_APR_FINAL_VINTAGE,GAS Live 2012 April Final,IMF.RES.GAS,GAS_LIVE_2012_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2012_APR_FINAL_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2015_APR_GAS2_VINTAGE,GEE Live 2015 April GAS2,IMF.RES.GEE,GEE_LIVE_2015_APR_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2015_APR_GAS2_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2021_OCT_GAS2_VINTAGE,GEE Live 2021 October GAS2,IMF.RES.GEE,GEE_LIVE_2021_OCT_GAS2_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2021_OCT_GAS2_VINTAGE(1.0.0)
IMF.STA:MFS_DC_2026_FEB_VINTAGE,"Monetary and Financial Statistics (MFS), Depository Corporations 2026 February",IMF.STA,MFS_DC_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_DC_2026_FEB_VINTAGE(1.0.0)
IMF.STA:QGFS_2026_JAN_VINTAGE,Quarterly Government Finance Statistics (QGFS) 2026 January,IMF.STA,QGFS_2026_JAN_VINTAGE,1.0.0,IMF.STA:QGFS_2026_JAN_VINTAGE(1.0.0)
IMF.STA:MFS_ODC_2026_FEB_VINTAGE,"Monetary and Financial Statistics (MFS), Other Depository Corporations 2026 February",IMF.STA,MFS_ODC_2026_FEB_VINTAGE,1.0.0,IMF.STA:MFS_ODC_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GAS:GAS_LIVE_2015_APR_FINAL_VINTAGE,GAS Live 2015 April Final,IMF.RES.GAS,GAS_LIVE_2015_APR_FINAL_VINTAGE,1.0.0,IMF.RES.GAS:GAS_LIVE_2015_APR_FINAL_VINTAGE(1.0.0)
IMF.STA:QGDP_WCA_2026_FEB_VINTAGE,"Quarterly Gross Domestic Product (GDP), World and Country Aggregates 2026 February",IMF.STA,QGDP_WCA_2026_FEB_VINTAGE,1.0.0,IMF.STA:QGDP_WCA_2026_FEB_VINTAGE(1.0.0)
IMF.RES.GEE:GEE_LIVE_2017_JAN_GAS1_VINTAGE,GEE Live 2017 January GAS1,IMF.RES.GEE,GEE_LIVE_2017_JAN_GAS1_VINTAGE,1.0.0,IMF.RES.GEE:GEE_LIVE_2017_JAN_GAS1_VINTAGE(1.0.0)
IMF.RES.WEO:WEO_LIVE_1998_OCT_VINTAGE,WEO Live 1998 October,IMF.RES.WEO,WEO_LIVE_1998_OCT_VINTAGE,1.0.0,IMF.RES.WEO:WEO_LIVE_1998_OCT_VINTAGE(1.0.0)
