database_name,dimension_name,Code,Name
WTO:WTOIMFTT,COMMODITY,10121,"010121 - Horses; live, pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10129,"010129 - Horses; live, other than pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10130,010130 - Asses; live
WTO:WTOIMFTT,COMMODITY,10190,010190 - Mules and hinnies; live
WTO:WTOIMFTT,COMMODITY,10221,"010221 - Cattle; live, pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10229,"010229 - Cattle; live, other than pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10231,"010231 - Buffalo; live, pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10239,"010239 - Buffalo; live, other than pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10290,"010290 - Bovine animals; live, other than cattle and buffalo"
WTO:WTOIMFTT,COMMODITY,10310,"010310 - Swine; live, pure-bred breeding animals"
WTO:WTOIMFTT,COMMODITY,10391,"010391 - Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
WTO:WTOIMFTT,COMMODITY,10392,"010392 - Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
WTO:WTOIMFTT,COMMODITY,10410,010410 - Sheep; live
WTO:WTOIMFTT,COMMODITY,10420,010420 - Goats; live
WTO:WTOIMFTT,COMMODITY,10511,"010511 - Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
WTO:WTOIMFTT,COMMODITY,10512,"010512 - Poultry; live, turkeys, weighing not more than 185g"
WTO:WTOIMFTT,COMMODITY,10513,"010513 - Poultry; live, ducks, weighing not more than 185g"
WTO:WTOIMFTT,COMMODITY,10514,"010514 - Poultry; live, geese, weighing not more than 185g"
WTO:WTOIMFTT,COMMODITY,10515,"010515 - Poultry; live, guinea fowls, weighing not more than 185g"
WTO:WTOIMFTT,COMMODITY,10594,"010594 - Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
WTO:WTOIMFTT,COMMODITY,10599,"010599 - Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
WTO:WTOIMFTT,COMMODITY,10611,"010611 - Mammals; live, primates"
WTO:WTOIMFTT,COMMODITY,10612,"010612 - Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
WTO:WTOIMFTT,COMMODITY,10613,"010613 - Mammals; live, camels and other camelids (Camelidae)"
WTO:WTOIMFTT,COMMODITY,10614,"010614 - Mammals; live, rabbits and hares"
WTO:WTOIMFTT,COMMODITY,10619,"010619 - Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
WTO:WTOIMFTT,COMMODITY,10620,010620 - Reptiles; live (including snakes and turtles)
WTO:WTOIMFTT,COMMODITY,10631,"010631 - Birds; live, birds of prey"
WTO:WTOIMFTT,COMMODITY,10632,"010632 - Birds; live, Psittaciformes"
WTO:WTOIMFTT,COMMODITY,10633,"010633 - Birds; live, ostriches; emus (Dromaius novaehollandiae)"
WTO:WTOIMFTT,COMMODITY,10639,"010639 - Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
WTO:WTOIMFTT,COMMODITY,10641,"010641 - Insects; live, bees"
WTO:WTOIMFTT,COMMODITY,10649,"010649 - Insects; live, other than bees"
WTO:WTOIMFTT,COMMODITY,10690,"010690 - Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
WTO:WTOIMFTT,COMMODITY,20110,"020110 - Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
WTO:WTOIMFTT,COMMODITY,20120,"020120 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
WTO:WTOIMFTT,COMMODITY,20130,"020130 - Meat; of bovine animals, boneless cuts, fresh or chilled"
WTO:WTOIMFTT,COMMODITY,20210,"020210 - Meat; of bovine animals, carcasses and half-carcasses, frozen"
