countrycode,countryname,countrycode_s,countryname_s,G001,G080,G083,G084,G087,G089,G092,G110,G119,G1201,G1515,G1614,G1626,G1627,G200,G201,G202,G205,G209,G216,G400,G401,G402,G406,G505,G510,G603,G606,G711,G903,G906,G92031,G940,G995,G998,GX117,GX1212,GX1218,GX123,GX1518,GX1603,GX2041,GX229,GX440,GX504,GX604,GX88,GX93,GX970,groupa,groupaplus
ABW,"Aruba, Kingdom of the Netherlands",314,Aruba,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
AFG,"Afghanistan, Islamic Republic of",512,Afghanistan,1,,,,,1,1,,,,,,,,1,1,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,
AGO,Angola,614,Angola,1,1,,,1,,,,,1,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1
ALB,Albania,914,Albania,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
AND,"Andorra, Principality of",171,Andorra,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
ARE,United Arab Emirates,466,United Arab Emirates,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ARG,Argentina,213,Argentina,1,,,,,,1,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1
ARM,"Armenia, Republic of",911,Armenia,1,,,,,,1,,,1,,,,,1,,,,,1,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,1
ATG,Antigua and Barbuda,311,Antigua and Barbuda,1,,,1,1,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,
AUS,Australia,193,Australia,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1
AUT,Austria,122,Austria,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
AZE,"Azerbaijan, Republic of",912,Azerbaijan,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
BDI,Burundi,618,Burundi,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
BEL,Belgium,124,Belgium,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
BEN,Benin,638,Benin,1,,,,,1,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,
BFA,Burkina Faso,748,Burkina Faso,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
BGD,Bangladesh,513,Bangladesh,1,,1,,,,1,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,1
BGR,Bulgaria,918,Bulgaria,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
BHR,"Bahrain, Kingdom of",419,Bahrain,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
BHS,"Bahamas, The",313,"Bahamas, The",1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
BIH,Bosnia and Herzegovina,963,Bosnia and Herzegovina,1,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,
BLR,"Belarus, Republic of",913,Belarus,1,,,,1,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,,
BLZ,Belize,339,Belize,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
BOL,Bolivia,218,Bolivia,1,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,,,
BRA,Brazil,223,Brazil,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,1
BRB,Barbados,316,Barbados,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
BRN,Brunei Darussalam,516,Brunei Darussalam,1,1,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,
BTN,Bhutan,514,Bhutan,1,,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
BWA,Botswana,616,Botswana,1,,,,,1,1,,,1,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,
CAF,Central African Republic,626,Central African Republic,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
CAN,Canada,156,Canada,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1
CHE,Switzerland,146,Switzerland,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
CHL,Chile,228,Chile,1,,,,,1,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1
CHN,"China, People's Republic of",924,China,1,,1,,,,1,,,1,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1
CIV,Côte d'Ivoire,662,Côte d'Ivoire,1,,1,,1,,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
CMR,Cameroon,622,Cameroon,1,,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,1
COD,"Congo, Democratic Republic of the",636,"Congo, Democratic Republic of the",1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
COG,"Congo, Republic of",634,"Congo, Republic of",1,1,,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,
COL,Colombia,233,Colombia,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1
COM,"Comoros, Union of the",632,Comoros,1,,,1,1,,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
CPV,Cabo Verde,624,Cabo Verde,1,,,1,,,1,,,1,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,1,1,,,
CRI,Costa Rica,238,Costa Rica,1,,,,,,1,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,
CYP,Cyprus,423,Cyprus,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
CZE,Czech Republic,935,Czech Republic,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
DEU,Germany,134,Germany,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,1
DJI,Djibouti,611,Djibouti,1,,,1,1,,1,,,,,,,,1,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,
DMA,Dominica,321,Dominica,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,
DNK,Denmark,128,Denmark,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,1,,
DOM,Dominican Republic,243,Dominican Republic,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,1
DZA,Algeria,612,Algeria,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ECU,Ecuador,248,Ecuador,1,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
EGY,"Egypt, Arab Republic of",469,Egypt,1,,,1,1,,1,,,1,,,,,1,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,1
ERI,"Eritrea, The State of",643,Eritrea,1,,,,,1,1,,,,,,,1,1,1,,,1,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,1,,,
ESP,Spain,184,Spain,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,1
EST,"Estonia, Republic of",939,Estonia,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
ETH,"Ethiopia, The Federal Democratic Republic of",644,Ethiopia,1,,,,1,,1,,,,,,,1,1,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
FIN,Finland,172,Finland,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
FJI,"Fiji, Republic of",819,Fiji,1,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,1,,1,1,,,
FRA,France,132,France,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,1
FSM,"Micronesia, Federated States of",868,Micronesia,1,,,,,,1,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,
G163,Euro Area (EA),163,Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
GAB,Gabon,646,Gabon,1,1,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
GBR,United Kingdom,112,United Kingdom,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,1
GEO,Georgia,915,Georgia,1,,,1,,,1,,,1,,,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,1
GHA,Ghana,652,Ghana,1,,,,1,1,1,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,1
GIN,Guinea,656,Guinea,1,,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,1,1,,,
GMB,"Gambia, The",648,"Gambia, The",1,,,1,1,,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
GNB,Guinea-Bissau,654,Guinea-Bissau,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,1,,1,,,
GNQ,"Equatorial Guinea, Republic of",642,Equatorial Guinea,1,1,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
GRC,Greece,174,Greece,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
GRD,Grenada,328,Grenada,1,,,1,1,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,
GTM,Guatemala,258,Guatemala,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,
GUY,Guyana,336,Guyana,1,1,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
HKG,"Hong Kong Special Administrative Region, People's Republic of China",532,Hong Kong SAR,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1
HND,Honduras,268,Honduras,1,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,1,,,
HRV,"Croatia, Republic of",960,Croatia,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,
HTI,Haiti,263,Haiti,1,,1,,1,,1,,,,,,,,1,1,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,
HUN,Hungary,944,Hungary,1,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,1,1,,
IDN,Indonesia,536,Indonesia,1,,,,,,1,,,1,1,,,,1,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,1,,1,,1,1,,1,1
IND,India,534,India,1,,,,,,1,,,1,1,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,1,,1,1
IRL,Ireland,178,Ireland,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,1
IRN,"Iran, Islamic Republic of",429,Iran,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
IRQ,Iraq,433,Iraq,1,1,,,,,,,,1,,,,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ISL,Iceland,176,Iceland,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,
ISR,Israel,436,Israel,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
ITA,Italy,136,Italy,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,1
