relationship_id,from_entity_id,from_table,from_columns,to_entity_id,to_table,to_columns,relationship_type,cardinality,confidence,source,notes
parent.company.listing.company.company,company.listing,CompanyListings,Id,company.company,Company,Id,parent,many-to-one,derived,COMPANY_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.company.naicscode.company.company,company.naicscode,CompanyNAICSCodes,Id,company.company,Company,Id,parent,many-to-one,derived,COMPANY_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.company.siccode.company.company,company.siccode,CompanySICCodes,Id,company.company,Company,Id,parent,many-to-one,derived,COMPANY_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.tranche.dcm.deal,dcm.tranche,DCMDealTranches,DCMDealDealId,dcm.deal,DCMDeal,DealId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.financialsponsor.dcm.deal,dcm.financialsponsor,DCMDealFinancialSponsors,DCMDealDealId,dcm.deal,DCMDeal,DealId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.commoncode.dcm.tranche,dcm.commoncode,DCMDealTranchesCommonCodes,DCMDealTrancheDealId;DCMDealTrancheTrancheId,dcm.tranche,DCMDealTranches,DCMDealDealId;TrancheId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.guarantor.dcm.tranche,dcm.guarantor,DCMDealTranchesGuarantors,DCMDealTrancheDealId;DCMDealTrancheTrancheId,dcm.tranche,DCMDealTranches,DCMDealDealId;TrancheId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.isin.dcm.tranche,dcm.isin,DCMDealTranchesISINs,DCMDealTrancheDealId;DCMDealTrancheTrancheId,dcm.tranche,DCMDealTranches,DCMDealDealId;TrancheId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.lbomnadeal.dcm.deal,dcm.lbomnadeal,DCMDealLBOMNADeals,DCMDealDealId,dcm.deal,DCMDeal,DealId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.securitynumber.dcm.tranche,dcm.securitynumber,DCMDealTranchesSecurityNumbers,DCMDealTrancheDealId;DCMDealTrancheTrancheId,dcm.tranche,DCMDealTranches,DCMDealDealId;TrancheId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.syndicatemember.dcm.tranche,dcm.syndicatemember,DCMDealTranchesSyndicate,DCMDealTrancheDealId;DCMDealTrancheTrancheId,dcm.tranche,DCMDealTranches,DCMDealDealId;TrancheId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.dcm.use.dcm.deal,dcm.use,DCMDealUseOfProceeds,DCMDealDealId,dcm.deal,DCMDeal,DealId,parent,many-to-one,documented,DCM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.tranche.ecm.deal,ecm.tranche,ECMDealTranches,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.exchange.ecm.deal,ecm.exchange,ECMDealListings,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.financialsponsor.ecm.tranche,ecm.financialsponsor,ECMDealTranchesFinancialSponsors,ECMDealTrancheDealId;ECMDealTrancheTrancheId,ecm.tranche,ECMDealTranches,ECMDealDealId;TrancheId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.guarantor.ecm.deal,ecm.guarantor,ECMDealGuarantors,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.lbomnadeal.ecm.deal,ecm.lbomnadeal,ECMDealLBOMNADeals,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.subtype.ecm.deal,ecm.subtype,ECMDealSubTypes,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.syndicatemember.ecm.tranche,ecm.syndicatemember,ECMDealTranchesSyndicate,ECMDealTrancheDealId;ECMDealTrancheTrancheId,ecm.tranche,ECMDealTranches,ECMDealDealId;TrancheId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.attorney.ecm.deal,ecm.attorney,ECMDealAttorneys,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.use.ecm.deal,ecm.use,ECMDealUseOfProceeds,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
parent.ecm.vendor.ecm.deal,ecm.vendor,ECMDealVendors,ECMDealDealId,ecm.deal,ECMDeal,DealId,parent,many-to-one,documented,ECM_nn.xml,Derived from XML hierarchy and documented parent-key annotations.
