domain,entity_id,record_name,entity_grain,entity_primary_key,parent_entity_id,element_name,business_name,description,source_type_raw,logical_type,max_length,scale,xml_path,physical_table,physical_columns,is_key,is_reference,reference_entity_id,reference_target_columns,is_collection,confidence,source_sheet,source_row,search_terms,notes
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,BankParentId,Bank Parent,"Link to company designated as the bank group head.This is normally the same as the company group head, but in some cases may be different.",Int,integer,,,/COMPANY/Companies/Company/BankParentId,Company,BankParentId,false,true,company.company,Id,false,documented,COMPANY_nn.xml,8,"BankParentId | Bank Parent | Link to company designated as the bank group head.This is normally the same as the company group head, but in some cases may be different.",
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,BrandName,Company Brand Name,"The name by which the company is normally known when reported in the media. This is normally the same as the legal name, but is often different for large, well-known companies.",String(80),string,80,,/COMPANY/Companies/Company/BrandName,Company,BrandName,false,false,,,false,documented,COMPANY_nn.xml,9,"BrandName | Company Brand Name | The name by which the company is normally known when reported in the media. This is normally the same as the legal name, but is often different for large, well-known companies.",
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,BusinessDescription,Company Business Description,Description of the company's main activities.,String(MAX),text,MAX,,/COMPANY/Companies/Company/BusinessDescription,Company,BusinessDescription,false,false,,,false,documented,COMPANY_nn.xml,10,BusinessDescription | Company Business Description | Description of the company's main activities.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,CapiqId,CapIQ ID,Id of company record in the Capiq datafeed that the Dealogic company is concorded to.,Int,integer,,,/COMPANY/Companies/Company/CapiqId,Company,CapiqId,false,false,,,false,documented,COMPANY_nn.xml,11,CapiqId | CapIQ ID | Id of company record in the Capiq datafeed that the Dealogic company is concorded to.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,City,Company City,City in which the issuer is located.,String(30),string,30,,/COMPANY/Companies/Company/City,Company,City,false,false,,,false,documented,COMPANY_nn.xml,12,City | Company City | City in which the issuer is located.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,CompanyParentId,Company Group Head,Link to the company that is the legal group head. A company group consists of all companies owning or owned at least 50%. The group head is the company with no owner.,Int,integer,,,/COMPANY/Companies/Company/CompanyParentId,Company,CompanyParentId,false,true,company.company,Id,false,documented,COMPANY_nn.xml,13,CompanyParentId | Company Group Head | Link to the company that is the legal group head. A company group consists of all companies owning or owned at least 50%. The group head is the company with no owner.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,CUSIP,Company CUSIP,CUSIP number for the company. This is the 6-digit version.,String(6),string,6,,/COMPANY/Companies/Company/CUSIP,Company,CUSIP,false,false,,,false,documented,COMPANY_nn.xml,14,CUSIP | Company CUSIP | CUSIP number for the company. This is the 6-digit version.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,FinancialSponsorParentId,Financial Sponsor Parent,The topmost financial sponsor in an unbroken hierarchy of majority ownership of financial sponsor companies to which this company belongs.,Int,integer,,,/COMPANY/Companies/Company/FinancialSponsorParentId,Company,FinancialSponsorParentId,false,true,company.company,Id,false,documented,COMPANY_nn.xml,15,FinancialSponsorParentId | Financial Sponsor Parent | The topmost financial sponsor in an unbroken hierarchy of majority ownership of financial sponsor companies to which this company belongs.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,Id,Company Id,Unique Dealogic identifier assigned to a company. Sometimes referred to in documentation as EID or Entity Id.,Int,integer,,,/COMPANY/Companies/Company/Id,Company,Id,true,false,,,false,documented,COMPANY_nn.xml,16,Id | Company Id | Unique Dealogic identifier assigned to a company. Sometimes referred to in documentation as EID or Entity Id.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,ImmediateParentId,Immediate Parent,Pointer to the company which is legal owner of at least 50% of this one.,Int,integer,,,/COMPANY/Companies/Company/ImmediateParentId,Company,ImmediateParentId,false,true,company.company,Id,false,documented,COMPANY_nn.xml,17,ImmediateParentId | Immediate Parent | Pointer to the company which is legal owner of at least 50% of this one.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,IsDeleted,Deleted Flag,Flag to indicate that the company record has been removed from the feed. The most common cause for this is the elimination of duplicate records created for the same company. All links to this deleted record will be replaced in the current update.,Bool,boolean,,,/COMPANY/Companies/Company/IsDeleted,Company,IsDeleted,false,false,,,false,documented,COMPANY_nn.xml,18,IsDeleted | Deleted Flag | Flag to indicate that the company record has been removed from the feed. The most common cause for this is the elimination of duplicate records created for the same company. All links to this deleted record will be replaced in the current update.,
COMPANY,company.company,Company,"One row per COMPANY Company, identified by Id.",Id,,IsFinancialSponsor,Financial Sponsor Flag,Flag set to true if the company acts in the role of financial sponsor in any deal. For most companies therefore this flag will be set to false.,Bool,boolean,,,/COMPANY/Companies/Company/IsFinancialSponsor,Company,IsFinancialSponsor,false,false,,,false,documented,COMPANY_nn.xml,19,IsFinancialSponsor | Financial Sponsor Flag | Flag set to true if the company acts in the role of financial sponsor in any deal. For most companies therefore this flag will be set to false.,
